,language
66,"docker sign verify overview utility create verify embed signature docker image verify integrity image metadata layer goal utility operate directly docker registies docker repositories devicemapper overlay2 aufs docker archive docker save feature verifie sign file place need replicate image docker cli extensible signing technology build support gnupg pki integrate docker credential store compatibility test python 3.7 test python 2.x installation pip install docker_sign_verify source code bash git clone docker sign verify virtualenv env source env bin activate python pip install --editable .[dev usage sign verify image master key 7ddd762afcdf1e55 sukey 9dd1bb948581b0ad bash gpg --keyid format long --list key 7ddd762afcdf1e55 pub rsa4096/7ddd762afcdf1e55 2017 expire 2027 uid ultimate richard davis crashvb sub rsa4096/9dd1bb948581b0ad 2017 expire 2027 resolve tag crashvb base ubuntu remote registry registry:5000 verify layer sign digest canonicalized configuration upload new manifest contain embed signature assign tag crashvb base ubuntu_signe bash docker sign --debug registry --keyid=""7ddd762afcdf1e55 registry:5000 crashvb base ubuntu registry:5000 crashvb base ubuntu_signe keypass info root signing registry:5000 crashvb base ubuntu ... info root verifying integrity registry:5000 crashvb base ubuntu ... debug root config digest sha256:8ff76ab7ecbe0 ... 424bf93cacad083c0 debug root manifest layer sha256:3b37166ec6145 ... 4e6a6e7580cdeff8e sha256:504facff238fd ... ddc52d31448a044bd sha256 ebbcacd28e101 ... 73bf796e12b1bb449 sha256 c7fb3351ecad2 ... 042086fe72c902b8a sha256:2e3debadcbf7e ... eca27cb4d809d56c2 sha256 a5396a146776f ... 4e30f97ed2e9891a4 sha256:6389d93ef5c7f ... 243609c6f41637e84 sha256 e05442215521c ... fbdadc15c5c80294f sha256 f4ed07aa21a9b ... f1fd5a4095bf575c9 sha256 e41e7b47a71d3 ... 4611b5ed003208f81 sha256 ae19c1f4b6b19 ... b28fef2632aca9064 debug root image layer sha256:8823818c47486 ... 45be9ba0eb149a643 sha256:19d043c86cbcb ... da1e8fc6ce1e43d7f sha256:883eafdbe580e ... 50cad1875e13e3915 sha256:4775b2f378bb7 ... 91719367c739ef25a sha256:75b79e19929ce ... 1ee48b949261770cf sha256:440c82316bee2 ... ed8d2c3f168299db8 sha256:0538f6ef1ac4c ... 4cb5a61b9bd530929 sha256:090cbbe4fbc62 ... 25f7322fb5cd1d619 sha256:5b42cc22f7bd7 ... 4492f3790f05fccbc sha256 ffd252d089fe6 ... b41e7336a18e12c8a sha256:22681af0cc030 ... ca77af16b6bfeb204 info root integrity check pass debug root signature -----begin pgp signature----- iqicbaabcgagbqjcw2i9aaojej3ru5sfgbctfw0qajo4wcs/0hpwby3rpiyxsz74 dcr7lrccsh7afdeufxp5slxxbl8gxyfeacmucuwzhapgdbpntwxqf10r3tq9bx0j 36aowzgt+vscgdvoz6meycgs jbxxgaut3l0cib4dch un2ansqq1g+vt2zhhol5 hggzdtaddawu8ssghij fr62+ari5xwixs2vn3+wtjrdiq6g3w2cb64lwtcyo2sh qendo4z3akdzrmt10z4iqku2xjhqiqijhdcdjmnf+jzu8pbzmkdyxle5jot8dx39 r2g4aunxa9vqclybshaustsb2nmrd2fx2gwd jkgn0mvla3a+v27vmyw jqgrwhw qljsh0wubevqjlgpf+zqknhaxnnmm5zivcyqpvj3par6bgi7luzk9s2wbgzldbed jcafka6u1b yaac+pts6am4n0bgs1p9r7gwb+i7pfwtwh h5d1mdxdgdnyje52qh dyxgcajbnqbu2t6bbzyy2wsyvjpwvokwqgb2lpbkro7y1w7t7vmltvloi+hpwfss 5vxmfyfnjfhq5iqo1n76w1 msdpxv6qf3noxvk+rmsoqqgj7 br8rb4jueextglf yr0rnxdsukbnmh88x gpg+xbf3m2nvv9kb0f5vhb9j756rlwb1a8+rdvdrs5iclf m7kvrvdb7+zzvnur5ltu vogn -----end pgp signature----- debug root config digest sign sha256 d9e31c5898fe25bb7b3ac86f8570b8961d5d878aace796920a9da3f8cd8251cb info root create new image registry:5000 crashvb base ubuntu_signe resolve tag crashvb base ubuntu_signe remote registry registry:5000 verify layer embed signature bash docker verify --debug registry registry:5000 crashvb base ubuntu_signe info root verifying integrity registry:5000 crashvb base ubuntu_signe ... debug root config digest sha256 d9e31c5898fe2 ... 20a9da3f8cd8251cb debug root manifest layer sha256:3b37166ec6145 ... 4e6a6e7580cdeff8e sha256:504facff238fd ... ddc52d31448a044bd sha256 ebbcacd28e101 ... 73bf796e12b1bb449 sha256 c7fb3351ecad2 ... 042086fe72c902b8a sha256:2e3debadcbf7e ... eca27cb4d809d56c2 sha256 a5396a146776f ... 4e30f97ed2e9891a4 sha256:6389d93ef5c7f ... 243609c6f41637e84 sha256 e05442215521c ... fbdadc15c5c80294f sha256 f4ed07aa21a9b ... f1fd5a4095bf575c9 sha256 e41e7b47a71d3 ... 4611b5ed003208f81 sha256 ae19c1f4b6b19 ... b28fef2632aca9064 debug root image layer sha256:8823818c47486 ... 45be9ba0eb149a643 sha256:19d043c86cbcb ... da1e8fc6ce1e43d7f sha256:883eafdbe580e ... 50cad1875e13e3915 sha256:4775b2f378bb7 ... 91719367c739ef25a sha256:75b79e19929ce ... 1ee48b949261770cf sha256:440c82316bee2 ... ed8d2c3f168299db8 sha256:0538f6ef1ac4c ... 4cb5a61b9bd530929 sha256:090cbbe4fbc62 ... 25f7322fb5cd1d619 sha256:5b42cc22f7bd7 ... 4492f3790f05fccbc sha256 ffd252d089fe6 ... b41e7336a18e12c8a sha256:22681af0cc030 ... ca77af16b6bfeb204 info root integrity check pass info root verifying signature(s registry:5000 crashvb base ubuntu_signe ... debug root config digest sign sha256 d9e31c5898fe2 ... 20a9da3f8cd8251cb debug root config digest unsigned sha256:8ff76ab7ecbe0 ... 424bf93cacad083c0 debug root signture debug root signature 2019 22:39:57 key 9dd1bb948581b0ad debug root richard davis crashvb info root signature check pass replicate image local repository bash docker pull registry:5000 crashvb base ubuntu ubuntu pull crashvb base 3b37166ec614 download complete 504facff238f download complete ebbcacd28e10 download complete c7fb3351ecad download complete 2e3debadcbf7 download complete a5396a146776 download complete 6389d93ef5c7 download complete e05442215521 download complete f4ed07aa21a9 download complete e41e7b47a71d download complete ae19c1f4b6b1 download complete digest sha256:8acac09a29bb9364dca10cce18e7d2fd4f83cb495a8519af585b56bcfeba03ca status download new image registry:5000 crashvb base ubuntu bash docker pull registry:5000 crashvb base ubuntu_signe ubuntu_signe pull crashvb base 3b37166ec614 exist 504facff238f exist ebbcacd28e10 exist c7fb3351ecad exist 2e3debadcbf7 exist a5396a146776 exist 6389d93ef5c7 exist e05442215521 exist f4ed07aa21a9 exist e41e7b47a71d exist ae19c1f4b6b1 exist digest sha256:36e6e7cae412993ba19c0cf9a4583d1988e7668b5ce8e959f1915aabd0bb3bb2 status download new image registry:5000 crashvb base ubuntu_signe bash docker image --format=""{{.id registry:5000 crashvb base ubuntu 8ff76ab7ecbe bash docker image --format=""{{.id registry:5000 crashvb base ubuntu_signe d9e31c5898fe environment variables variable default value description ---------| ------------- ----------- dsv_gpg_datastore ~/.gnupg gnupg home directory dsv_pki_datastore ~/.dsv.pem pki key store trust store concatinate pem entity dsv_dockerhub_auth dockerhub authentication endpoint dsv_default_registry dockerhub registry api endpoint dsv_credentials_store ~/.docker config.json docker credential store dsv_keyid identifier signing key gnupg keyid pki path pem encode private key dsv_keypass corresponding key passphrase dsv_keytype gpg signature type gpg pki development source crashvb docker sign verify"
67,module test program runtime author jian gao china usage python testspeed code file
68,
69,"web widget digitized signature file generate oca gen addon readme change overwrite |badge1| image target alt beta |badge2| image target alt license agpl-3 |badge3| image target alt oca web |badge4| image target alt translate weblate |badge5| image target alt try runbot |badge1| |badge2| |badge3| |badge4| |badge5| module provide widget binary field allow digitize signature store image demonstration include widget user level store signature image user table content content local configuration use module need add widget=""signature binary field view specify signature dimension like follow field name=""signature_image widget=""signature width=""400 height=""100""/ usage setting user user open exist user set digital signature field signature bug tracker bug track github issues case trouble check issue report spot help smash provide detailed welcome feedback contact contributor directly support help technical issue credit author ~~~~~~~ serpent consulting services pvt ltd. agile business group tecnativa contributors ~~~~~~~~~~~~ jay vora tecnativa vicent cubells maintainers ~~~~~~~~~~~ module maintain oca image alt odoo community association target oca odoo community association nonprofit organization mission support collaborative development odoo feature promote widespread use module oca web project github welcome contribute learn visit"
70,introduction product add plone control panel new entry type criterion setting panel add set definition general content type define group exist plone native type image alt type criterion setting example define new general type call textual content define group pages news events definition plone collection new general type criterion image alt general type criterion action brief search new general type define mean search group native type motivation find lot plone user hardly learn difference content type example difference page file tiny mind site contributor situation group feature like look multimedia type useful approach user care general family type power user define finally 3rd party product extend exist list type content type change replace well product care reconfigure general type collection site compatibility product test plone 4.3.2 require plone.app.querystre 1.2 well problem instal add try pin plone.app.querystring version 1.2 buildout ... version version ... version plone.app.querystring 1.2.0 ... todo generic setup import step configuring type changelog 0.1.0 2014 ------------------ initial release
71,image target alt license agpl-3 stock partner info module display partner picking stock movement allow grouping field usage image alt try runbot target bug tracker bug track github issues case trouble check issue report spot help smash provide detailed welcome feedback credit image ------ odoo community association icon contributor ------------ pedro baeza ana juaristi alfredo fuente eficent business consulting services s.l. serpent consulting services pvt ltd. maintainer ---------- image alt odoo community association target module maintain oca oca odoo community association nonprofit organization mission support collaborative development odoo feature promote widespread use contribute module visit
72,"djangular reusable app provide well app integration angularjs djangular allow create angularjs content app instead create single massive angularjs application inside django allow selectively use app site create consistent structure django app intend django version angular seed project current mindset limit change introduce djangular feature -------- allow namespace angularjs content django app allow angularjs app module include base django setting enforce consistent structure django angularjs app include angularjs module include subset feature similar django provide template add patch angularjs resource module enable end url slash django require improve security enable csrf protection json vulnerability django angularjs ~~scripts allow run unit e2e test similar django test command.~~ remove time re-)include future release dictate use angularjs inside django app requirement ------------ currently require python 2.7 support django 1.5 1.9 support angularjs 1.2 include 1.3.x ~~local install node.js karma testing.~~ installation ------------ install directly pypi pip install djangular download source install terminal console python install download source djangular directory inside django project app recommended approach djangular need place app inside django project add installed_apps setting installed_apps ... djangular ... need obtain version angularjs place static folder django app djangular longer include version angularjs update frequently include angularjs content django apps ----------------------------------------------- popular feature djangular include namespace angularjs content inside django app django app angular folder layout match angular seed project result url group static_url structure django staticfile contrib library need include installed_apps setting installed_apps ... django.contrib.staticfile djangular ... staticfiles_finders need update include djangular.finders.namespacedangularappdirectoriesfinder staticfiles_finders django.contrib.staticfiles.finders.filesystemfinder django.contrib.staticfiles.finders.appdirectoriesfinder djangular.finders.namespacedangularappdirectoriesfinder new finder findstatic collectstatic command place angular file app associated app_name>/ folder need namespace static directory django application want example django app name foo default static_url setting main angularjs module name foo find foo angular app.js file system static foo app.js browser namespacing automatically foo app bar app app.js inside angular directory collide note url refer angularjs content separate app use /<separate_app>/ url help significantly testing sure path correct note recommend namespace angularjs code django app create file create app setup djangular angular seed structure run python startangularapp app_name command line create file directory structure need start include django template like feature angularjs template ------------------------------------------------------------------------ challenge angularjs inside django access need variable include django template djangular include angularjs module help use angularjs module djangular provide need add djangular app project url urlpattern pattern ... url(r'^djangular/ include('djangular.urls ... alternatively specify djangularmoduletemplateview specifically customize url djangular.views import djangularmoduletemplateview ... urlpattern pattern ... url(r'<custom_path>/djangular.js djangularmoduletemplateview.as_view ... add djangular angularjs module end code module include djangoproperties constant include current user authenticate username group role current user static medium url django setting include django filter basic substitution base property constant enforce end slash angularjs resource ----------------------------------------------------- resource convenient way create rest like service angularjs currently angular angular.js issues/992 resource strip end slash mean resource unusable setting append_slashes set false djangular patch automatically include separate file djangular static resource_patch.js handle issue simply include javascript file page load angular-resource.js end slash preserve resource enable csrf protection angularjs templates ----------------------------------------------- djangular include json vulnerability middleware angularjs know process include protection add djangular.middleware.angularjsonvulnerabilitymiddleware middleware_classes setting affect json request base content type locate fairly low middleware stack middleware_classes ... djangular.middleware.angularjsonvulnerabilitymiddleware enable csrf protection django add middleware django.middleware.csrf.csrfviewmiddleware middleware_classes setting use protection angularjs template addition django template different way enable protection djangular main app dependent djangular module use include csrf token directive wrap django csrf_token template tag inside appropriate form tag html inside javascript angular.module('myapp djangular ... ... angularjs template div app=""my app ... form ... csrf token></csrf token /form /div main app dependent djangular.csrf add appropriate csrf token header post put delete note way vulnerable cross site scripting post domain outside control angular.module('myapp djangular.csrf ... allow user login logout redirect reload page tag cookie provide method stale second option djangular.csrf module provide updatecsrftoken function invoke new csrf token value djangular django project -------------------------------------- section describe good practice djangular note guideline recommendation way use project angularjs purely static content way use djangular static content live inside angular app correct way angularjs standpoint correct way traditional django perspective serve content static domain django development strictly end focus rest and/or service call django view produce html provide redirect django view static page like strange static content serve completely different domain need configure web server allow remote ajax call static domain approach allow use angularjs number end django app api angularjs code approach different application currently architecte experience decide recommend local relative url navigate app instead specify url time need specify url angularjs module call djangular render django template engine obtain common template variable like static_url media_url user object etc app include service call djangoproperties enable access variable django filter follow standard angularjs filtering rule url javascript /djangular app.js note static follow sample route config use aforementioned djangular angular app angularjs set filter directive route configuration djangoproperties constant way obtain static_url sample django angularjs app javascript angular.module('sample djangular sample.filter sample.service sample.directive sample.controller .config routeprovider','djangopropertie function($routeprovider djangoproperties routeprovider.when('/view1 templateurl djangoproperties static_url sample view1 view1.html controller view1ctrl routeprovider.when('/view2 templateurl djangoproperties static_url sample view2 view2.html controller view2ctrl routeprovider.otherwise({redirectto /view1 django templates angularjs template way integrate use django template angularjs template highly recommend django 1.5 heavy use verbatim tag django angularjs templating syntax identical big advantage allow use exist template tag way thinking accustomed integrate angularjs exist django project appealing downside method follow angularjs developer recommend easy confused template render server render client developer team trip twice vast majority html app produce load ... static cache configuration server render content single request result poor performance django templates render skeleton app team currently use django template render skeleton page rest page partial css include angularjs app way css dependency duplicate multiple place app render content pass variable requestcontext template app_name app app_dependencie list app name angularjs app dependent heavy use django rest framework produce view rest services django pipeline app packaging css compression template look like follow html load compress use django pipeline packaging doctype html html head meta charset=""utf-8 title app title</title link rel=""shortcut icon href= static_url image app.ico --css imports-- dependency app_dependencies compressed_css dependency endfor compressed_css app_name --angularjs library imports-- script src= static_url angular angular min.js""></script --angularjs app imports-- script src=""/djangular app.js""></script djangular app dependency app_dependencies compressed_js dependency endfor compressed_js app_name /head body app=""{{app_name div class=""app view /div /body /html"
73,
74,"bokehheat abstract bokehheat provide python3 bokeh base interactive categorical dendrogram heatmap plot implementation minimal requirement python 3.6 dependency bokeh pandas scipy programmer bue jenny date origin 2018 license gplv3 user manual readme file source code available bokehheat plot heat.cdendro interactive categorical dendrogram plot implementation heat.bbar interactive boolean bar plot implementation heat.cbar interactive categorical bar plot implementation heat.qbar interactive quantitative bar plot implementation heat.heatmap interactive heatmap implementation heat.clustermap interactive cluster heatmap implementation combine heat.cdendro heat.bbar heat.cbar heat.qbar heat.heatmap hood example result real interactive experience clone download repository open theclustermap.html file favorite web browser recommend firefox developer/ heat.clustermap image](theclustermap.png figure poor static heat.clustermap html result screenshot howto guide install bokehheat bash pip3 install bokehheat load bokehheat library python bokehheat import heat howto reference information use bokehheat module python bokehheat import heat help(heat.cdendro help(heat.bbar help(heat.cbar help(heat.qbar help(heat.heatmap help(heat.clustermap howto integrate bokehheat plot mpastell pweave document python pweave.bokeh import output_pweave output_pweave o_clustermap ls_xaxis ls_yaxis heat.clustermap ... show(o_clustermap tutorial tutorial guide cluster heatmap generation process load library need tutorial python library bokehheat import heat import bokeh.palettes import reds9 ylgn8 colorblind8 import numpy import panda prepare datum python generate test datum ls_sample samplea','sampleb','samplec','sampled','samplee','samplef','sampleg','sampleh ls_variable genea','geneb','genec','gened','genee','genef','geneg','geneh genei ar_z np.random.rand(8,9 df_matrix dataframe(ar_z df_matrix.index ls_sample df_matrix.columns ls_variable generate sample annotation df_sample dataframe ls_sample age_year list(np.random.randint(0,101 sampletype luma','luma','luma','lumb','lumb','basal','basal','basal sampletype_color cyan','cyan','cyan','blue','blue','red','red','red df_sample.index df_sample.y generate gene annotation df_variable dataframe ls_variable genereal list(np.random.random(9 genetype lig','lig','lig','lig','lig','lig','rec','rec','rec genetype_color yellow','yellow','yellow','yellow','yellow','yellow','brown','brown','brown df_variable.index df_variable.x generate categorical quantitative sample gene annotation tuple tuple python t_ycat df_sample sampletype sampletype_color t_yquant df_sample age_year 128 ylgn8 t_xcat df_variable genetype genetype_color t_xquant df_variable genereal colorblind8 tt_catquant t_ycat t_yquant t_xquant t_xcat generate cluster heatmap python s_file theclustermap.html o_clustermap ls_xaxis ls_yaxis heat.clustermap df_matrix df_matrix ls_color_palette reds9 r_low r_high s_z log2 tt_axis_annot tt_catquant b_ydendo true b_xdendo true s_method='single s_metric='euclidean b_optimal_ordering true i_px i_height i_width s_filename s_file s_filetitel=""the clustermap display result python print(f""check s_file print(f""y axis ls_yaxis print(f""x axis ls_xaxis show(o_clustermap result clustermap look like example result section discussion bioinformatic cluster heatmap common plot present gene expression datum patient sample establish open source cluster software kit like cluster treeview](http://bonsai.hgc.jp/%7emdehoon software cluster index.html produce investigate heatmap static cluster heaptmap implementation exist wealth r](https://cran.r package static cluster heatmap function e.g. heatmap.2 gplot library pro con python static cluster heatmap landscape look deserted ancient base implementation like active state recipes/578175-hierarchical cluster heatmap python/ warrenweckesser heatmapcluster library seaborn generate seaborn.clustermap.html implementation look good need hour tweak agreeable plot need information static heatmap tool explore datum interactive cluster heatmap implementation exist d3heatmap d3.js base interactive cluster heatmap package heatmaply plotly base package basic level plotly base cluster heatmap write ggdendro ggplot2 library find fledged python base interactive cluster heatmap library latest/ base python bokeh base cluster heatmap implementation find plot heatmap dendrogram bokeh.html daniel russo synopsis implementation look roll bokehheat latest/ base interactive cluster heatmap library challenge implementation try solve library easy use datafarmes interactive mean result hover zoomable plot output computer platform independent easy accessible format like java script spice html file open webbrowser possibility add categorical quantitative annotation bar wish possibility cluster and/or axis snappy interactivity big dataset lot sample gene turn bokehheat hundred sample gene noth thousend future direction altair](https://altair base cluster heatmap implementation think future check jake vanderplas talk python visualization watch?v fytub8nfhpq pycon 2017 portland oregon usa contribution implementation elmar bucher documentation jennifer eng elmar bucher helpfull discussion mark dane daniel derrick hongmei zhang annette kolodize jim korkola laura heiser"
75,vtysh communication library topology vtysh communication library topology documentation changelog new initial release license copyright 2015 hewlett packard enterprise development license apache license version 2.0 license use file compliance license obtain copy license require applicable law agree writing software distribute license distribute basis warranties condition kind express imply license specific language govern permission limitation license
76,image target alt code health image target alt pypi version python library tsl2561 python library work adafruit tsl2561 luminosity sensor requirement ------------ python 2.7 python 3.x adafruit gpio library adafruit pureio library installation ------------ install late version pip code block bash pip install tsl2561 example ------- code block python tsl2561 import tsl2561 main tsl tsl2561(debug true print(tsl.lux license copyright 2015 kevin townsend adafruit industries right reserve copyright 2016-present george toth right reserve redistribution use source binary form modification permit provide follow condition meet redistribution source code retain copyright notice list condition follow disclaimer redistribution binary form reproduce copyright notice list condition follow disclaimer documentation and/or material provide distribution copyright holder name contributor endorse promote product derive software specific prior write permission software provide copyright holder express implied warranties including limited imply warranties merchantability fitness particular purpose disclaim event shall copyright holder liable direct indirect incidental special exemplary consequential damages including limited procurement substitute goods service loss use datum profits business interruption cause theory liability contract strict liability tort include negligence arise way use software advised possibility damage
77,website sale order type file generate oca gen addon readme change overwrite |badge1| image target alt beta |badge2| image target alt license agpl-3 |badge3| image target alt oca commerce |badge4| image target alt translate weblate |badge5| image target alt try runbot |badge1| |badge2| |badge3| |badge4| |badge5| module allow sale_order_type work website_sale module useful user have sale order type define partner form user buy product commerce sale order generate sale order type define partner form note sale order type define contact contact company level table content content local usage backend sale customer set sale order type contact log associated user commerce website buy product check create sale oder sale order type set contact bug tracker bug track github issues case trouble check issue report spot help smash provide detailed welcome feedback contact contributor directly support help technical issue credit author ~~~~~~~ agile business group contributors ~~~~~~~~~~~~ simone rubino maintainer ~~~~~~~~~~~ module maintain oca image alt odoo community association target oca odoo community association nonprofit organization mission support collaborative development odoo feature promote widespread use module oca commerce project github welcome contribute learn visit
78,unknown
79,scedar scedar single cell exploratory datum analysis rna seq reliable easy use python package efficient visualization imputation gene dropout detection rare transcriptomic profile cluster large scale single cell rna seq scrna seq dataset information check github logstar scedar scedar
80,tornadio look 0.7 integration library check tornadio2 contributors ------------ serge koval credits ------- authors sockettornad project brendan mcadams matt swanson implementation socket realtime transport library tornado framework short background ---------------- library implement socket integration tornado framework sockettornad finish know bug structure tornadio different sockettornad library follow aspect simple internal design easy maintain extend external dependency tornado simplejson python 2.6 properly handle on_open on_close event polling transport proper socket protocol parser proper unicode support actively maintain introduction ------------ order start work tornadio library need know basic concept tornado work read tornado tutorial find familiar tornado follow add support socket application derive tornadio socketconnection class override on_message method on_open on_close optional class myconnection(tornadio socketconnection def on_message(self message pass create handler object handle transport related functionality myrouter tornadio.get_router(myconnection add handler route tornado application application tornado.web.application myrouter.route socket_io_port 8000 start application server run port 8000 simple right goody ------- socketconnection class provide overridable method on_open call new client connection establish on_message call message receive client client send json object automatically decode appropriate python datum structure on_close call client connection close network error timeout client disconnect socketconnection send method send datum client input parameter string unicode string send utf-8 encode arbitrary python object encode json string automatically list python object string encode series message rule configuration ------------- configure handler pass setting get_router function dict object enabled_protocol list protocol server respond request possibility websocket html5 websocket transport flashsocket flash emulate websocket transport require flash policy server run port 843 xhr multipart work connection long connection multipart transfer encode receive update server separate post request send datum client xhr polling long poll ajax request read datum server post request send datum server message available send open connection closed queue server jsonp polling similar xhr polling push datum jsonp htmlfile create htmlfile control read datum server persistent connection post request send datum server session_check_interval specifie tornadio check session container expire session object second session_expiry specifie session expiration interval second polling transport actually maximum time allow request consider virtual connection close heartbeat_interval heartbeat interval persistent transport specifie heartbeat event send server client xhr_polling_timeout timeout long run xhr connection xhr polling transport second data available time connection close server avoid client timeout resource ^^^^^^^^^ limit connection type server serve different client server instance default client use resource change resource pass resource parameter get_router function chatrouter tornadio.get_router(myconnection resource='chat client provide resource connect pass resource parameter socket constructor sock new socket(window.location.hostname port 8001 resource chat say connection type want have unique resource connection type chatrouter tornadio.get_router(chatconnection resource='chat pingrouter tornadio.get_router(pingconnection resource='pe maprouter tornadio.get_router(mapconnection resource='map application tornado.web.application chatrouter.route pingrouter.route maprouter.route socket_io_port 8000 extra parameter ^^^^^^^^^^^^^^^^ need kind user authentication application choice send authentication token message client provide authentication token resource parameter tornadio support extra datum pass resource provide regexp extra_re parameter get_router function match datum access on_open handler kwargs['extra example class myconnection(tornadio socketconnection def on_open(self arg kwargs print extra kwargs['extra chatrouter tornadio.get_router(myconnection resource='chat extra_re='\d+ extra_sep='/ client sock new socket(window.location.hostname port 8001 resource chat/123 run example connect sample client extra 123 print start ----------- good way socketserver ^^^^^^^^^^^^^^^^^^^^^^ provide customize version shamelessly borrow sockettornad library httpserver simplifie start tornadio server start follow assume create application object main socketio_server socketserver(application socketserver automatically start flash policy server require socketserver default automatically start ioloop order prevent behaviour perform additional action socket server create use auto_start param case start ioloop manually main socketio_server socketserver(application auto_start false logging.info('you perform action ioloop ioloop.instance().start go big --------- finish writte application want share rest world start think scalability deployment option etc tornado server deploy nginx serve static content work tornadio nginx support http/1.1 support websocket xhr multipart transport work load balance tornadio instance use alternative solution like haproxy haproxy work windows plan deploy solution windows platform want look mlb scalability completely different beast developer design scalable architecture application example need large virtual server multiple physical process server come kind synchronization mechanism common meeting point point failure like memcached redis etc want use transporting mechanism communicate server example amqp base zeromq plain socket protocol example message queue treat tornadio message gateway client server backend(s example -------- chatroom example ^^^^^^^^^^^^^^^^ chatroom example application sockettornad library contribute swanson example chatroom directory ping example ^^^^^^^^^^^^ simple ping pong example measure network performance example ping directory transport example ^^^^^^^^^^^^^^^^^^ simple ping pong example chat like interface selectable transport example transport directory
81,sphinx .net domain image target alt documentation status image target package provide .net domain sphinx documentation good place look functionality currently test content -------- toctree caption main glob maxdepth design toctree caption api glob maxdepth autoapi index
82,
83,"python monitor python monitor pure python package monitor formal specification temporal sequence support specification language regular expression variant temporal logic usage fairly easy thank python allow fast prototyping application monitor temporal sequence specification high performance monitoring task project doganulus reelay target c++ application install late release package instal pip pip install python monitor command install dependency python interval antlr4-python3-runtime alternatively install directly repository run command pip install doganulus python monitors.git use mtl proposition generate monitor past metric temporal logic mtl formula monitor import mtl my_mtl_monitor mtl.monitor(""always(q once[2,4](p process data sequence proposition update monitor collect output step datum dict false true false false false false false true false false false false false false false false false false false false true false false false false false false false false true zip(data['p data['q output my_mtl_monitor.update(p print(my_mtl_monitor.time output my_mtl_monitor.state mtl predicate know stl boolean value python function predicate mtl formula pass monitor construction dictionary follow def my_predicate(x return name parameter share string expression my_mtl_monitor mtl.monitor(""always[0,5](p(x my_predicate 3,1,1,1,2 output my_mtl_monitor.update(x print(my_mtl_monitor.time my_predicate(n output my_mtl_monitor.state regular expression proposition predicate regular expression proposition predicate available similar fashion monitor import regexp def pred1(x return def pred2(x return name parameter share string expression my_reg_monitor regexp.monitor(""true p1(x p2(x)+ p1(x)+ pred1 pred2 output my_reg_monitor.update(x print(output my_reg_monitor.state cite mtl monitoring algorithm cite online monitoring metric temporal logic sequential abs/1901.00175 monitoring algorithm cite sequential circuits regular expressions abs/1801.08979"
84,django_ogp build status](https://travis ricardochave django_ogp.svg?branch master)](https://travis ricardochave django_ogp coverage repos github ricardochaves django_ogp github ricardochaves django_ogp codacy project badge app ricardochave django_ogp?utm_source github.com&utm_medium referral&utm_content ricardochave django_ogp&utm_campaign badge_grade_dashboard badge a2af8f7a30ad3bee2cac github ricardochaves django_ogp maintainability repos github ricardochaves django_ogp repos github ricardochaves django_ogp/ python repos github ricardochaves django_ogp repos github ricardochaves django_ogp/ code style badge code%20style ambv black packagist doctrine ricardochave django_ogp blob master license pypi django django ogp downloads](https://pepy.tech badge django ogp)](https://pepy.tech project django ogp downloads](https://pepy.tech badge django ogp month)](https://pepy.tech project django ogp downloads](https://pepy.tech badge django ogp week)](https://pepy.tech project django ogp badge ricardochave dynamic way register open graph protocol app facilitate seo onepage site administrative ready register metas prefer include dictionary value load dictionary setting use database hide user registration access level user group create easy way suporte test matrix guarantee coverage pythos2·7 django 1.8 pythos2·7 django 1.11 pythos3·4 django 1.8 pythos3·4 django 1.9 pythos3·4 django 1.11 pythos3·5 django 1.8 pythos3·5 django 1.9 pythos3·5 django 1.11 pythos3·5 django 2.0 pythos3·5 django 2.1 pythos3·6 django 1.8 pythos3·6 django 1.9 pythos3·6 django 1.11 pythos3·6 django 2.0 pythos3·6 django 2.1 pythos3·7 django 1.8 pythos3·7 django 1.9 pythos3·7 django 1.11 pythos3·7 django 2.0 pythos3·7 django 2.1 install bash pip install django_opg add django_opg installed_apps python installed_apps ... django_opg ... execute bash python migrate usage import load ogp add show_ogp header tag setting include metas straight setting app currently support follow datum json ogp og_title ricardo baltazar chave site og_type website og_description personal site og_url locale og_locale_alternate en_us og_locale_alternate pt_br image og_image og_image_url og_image_type image jpeg og_image_width 100 og_image_height 200 og_image_alt ricardo image og_image og_image_url og_image_type image jpeg og_image_width 300 og_image_height 400 og_image_alt ricardo speech seo database ogp key setting application fetch datum database basicmeta model select record exist prevent datum select
85,note use sophisticated rest syntax like e.g. file:`foo render correctly pypi and/or bitbucket pyfuse3 module start intro pyfuse3 set python binding libfuse provide asynchronous api compatible trio asyncio enable easily write featured linux filesystem python pyfuse3 release download pypi documentation read online include doc html directory pyfuse3 tarball get help ------------ report bug issue tracker discussion question use general fuse mailing list searchable mailing list archive kindly provide gmane development status ------------------ pyfuse3 beta bug likely pyfuse3 use semantic versioning mean backwards incompatible change api reflect increase major version number contribute ------------ pyfuse3 source code available github professional support -------------------- professional support offer rath consulting libfuse fuse mailing list issue tracker mailing list archive gmane pypi github rath consulting trio asyncio
